,IDS,PRED
0,9,22.0
1,5,22.0
2,34,59.551117
3,49,22.0
4,57,32.826366
5,26,39.36103
6,38,86.65677
7,45,22.0
8,10,45.236004
9,47,27.163868
10,24,22.0
11,59,38.728363
12,28,25.063576
13,55,36.892574
14,36,28.8124
15,12,46.20188
16,7,37.922363
17,16,22.0
18,51,36.8369
19,32,48.03195
20,43,22.0
21,20,22.0
22,3,37.312897
23,1,34.78137
24,18,22.30836
25,14,37.019024
26,22,43.19247
27,41,22.0
28,30,22.0
29,53,43.37603
30,11,22.0
31,60,26.342484
32,56,32.2772
33,48,41.692375
34,35,42.094517
35,44,31.560484
36,39,59.72098
37,27,22.0
38,8,26.579035
39,4,22.0
40,6,35.09839
41,13,22.0
42,58,45.28139
43,25,22.0
44,46,22.0
45,37,44.556038
46,54,34.574497
47,29,48.09556
48,2,58.75521
49,33,28.868998
50,50,29.868582
51,21,30.63338
52,42,38.2848
53,17,43.613
54,40,44.438496
55,23,27.934475
56,52,22.970362
57,31,56.32231
58,19,49.731274
59,15,52.524815
